service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS22024-hba24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbb24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbc24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbf24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbh24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbl24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbq24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbs24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
BUS22024-hbt24ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20240407,20240615,Spring
Blue-AirportWonderland-Saturday,Saturday schedule (Track Improvement),Saturday (Track Improvement),Saturday,4,20240407,20240615,Spring
Blue-AirportWonderland-Sunday,Sunday schedule (Track Improvement),Sunday (Track Improvement),Sunday,4,20240407,20240615,Spring
Blue-AirportWonderland-Weekday,Weekday schedule (Track Improvement),Weekday (Track Improvement),Weekday,4,20240407,20240615,Spring
Blue-MaverickWonderland-Weekday,Weekday schedule (Track work),Weekday (Track work),Weekday,4,20240407,20240615,Spring
Boat-EastBoston-Saturday-Summer-24,Saturday schedule,Saturday,Saturday,1,20240525,,Summer
Boat-EastBoston-Sunday-Summer-24,Sunday schedule,Sunday,Sunday,1,20240525,,Summer
Boat-EastBoston-Weekday-Summer-24,Weekday schedule,Weekday,Weekday,1,20240525,,Summer
Boat-F1-Sunday-Summer-24,Sunday schedule,Sunday,Sunday,1,20240525,,Summer
Boat-F1-Weekday-Fall-23,Weekday schedule,Weekday,Weekday,1,20231010,20240524,Fall
Boat-F1-Weekday-Summer-24,Weekday schedule,Weekday,Weekday,1,20240525,,Summer
Boat-F4-Saturday-Fall-23,Saturday schedule,Saturday,Saturday,1,20231010,20240524,Fall
Boat-F4-Sunday-Fall-23,Sunday schedule,Sunday,Sunday,1,20231010,20240524,Fall
Boat-F4-Sunday-Summer-24,Sunday schedule,Sunday,Sunday,1,20240525,,Summer
Boat-F4-Weekday-Fall-23,Weekday schedule,Weekday,Weekday,1,20231010,20240524,Fall
Boat-F4-Weekday-Summer-24,Weekday schedule,Weekday,Weekday,1,20240525,,Summer
Boat-F6-Weekday-Summer-24,Weekday schedule,Weekday,Weekday,1,20240525,,Summer
Boat-Lynn-Sunday-Summer-24,Sunday schedule,Sunday,Sunday,1,20240525,,Summer
Boat-Lynn-Weekday-Summer-24,Weekday schedule,Weekday,Weekday,1,20240525,,Summer
BridgewaterMiddleborough-Saturday,Saturday schedule (Track maintenance),Saturday (Track maintenance),Saturday,4,20240407,20240615,Spring
BridgewaterMiddleborough-Sunday,Sunday schedule (Track maintenance),Sunday (Track maintenance),Sunday,4,20240407,20240615,Spring
BridgewaterMiddleborough-Weekday,Weekday schedule (Track maintenance),Weekday (Track maintenance),Weekday,4,20240407,20240615,Spring
CR-BeverlyNorthStationShuttleMarch-Snd,Sunday schedule,Sunday,Sunday,4,20230827,20231216,Fall
CR-BeverlyNorthStationShuttleMarch-Std,Saturday schedule,Saturday,Saturday,4,20230827,20231216,Fall
CR-Haverhill-OakGroveReadingWinter-Snd,Sunday schedule,Sunday,Sunday,4,20231002,20240406,Fall/Winter
CR-Haverhill-OakGroveReadingWinter-Std,Saturday schedule,Saturday,Saturday,4,20231002,20240406,Fall/Winter
CR-Haverhill-OakGroveReadingWinter-Wkd,Weekday schedule,Weekday,Weekday,4,20231002,20240406,Fall/Winter
CR-Haverhill-ReadingWoburnWinter-Std,Saturday schedule,Saturday,Saturday,4,20231002,20240406,Fall/Winter
CR-Haverhill-ReadingWoburnWinter-Sunday,Sunday schedule,Sunday,Sunday,4,20231002,20240406,Fall/Winter
CR-Haverhill-ReadingWoburnWinter-Wkd,Weekday schedule,Weekday,Weekday,4,20231002,20240406,Fall/Winter
CR-NewburyportSwampscottShuttle-Weekday,Weekday schedule (Newburyport Line ATC work),Weekday (Newburyport Line ATC work),Weekday,4,20240407,20240615,Spring
CR-ReadvilleSouthStationShuttle-Std,Saturday schedule (East Cottage St and Norfolk Ave Bridge Replacement),Saturday (East Cottage St and Norfolk Ave Bridge Replacement),Saturday,4,20240407,20240615,Spring
